"","Array","Species","ID","Location","Order","Trial","Session"
"95","Zarray","Japanese macaque","BrightEyes","4",4,3,3
"96","Zarray","Japanese macaque","BrightEyes","6",5,3,3
"97","Zarray","Japanese macaque","BrightEyes","5",6,3,3
"98","Zarray","Japanese macaque","BrightEyes","1003",7,3,3
"99","Zarray","Japanese macaque","BrightEyes","2",1,4,3
"100","Zarray","Japanese macaque","BrightEyes","3",2,4,3
"101","Zarray","Japanese macaque","BrightEyes","4",3,4,3
"102","Zarray","Japanese macaque","BrightEyes","5",4,4,3
"103","Zarray","Japanese macaque","BrightEyes","6",5,4,3
"104","Zarray","Japanese macaque","BrightEyes","1",6,4,3
"105","Zarray","Japanese macaque","BrightEyes","1004",7,4,3
"106","Zarray","Japanese macaque","BrightEyes","1",1,5,3
"107","Zarray","Japanese macaque","BrightEyes","3",2,5,3
"108","Zarray","Japanese macaque","BrightEyes","4",3,5,3
"109","Zarray","Japanese macaque","BrightEyes","6",4,5,3
"110","Zarray","Japanese macaque","BrightEyes","5",5,5,3
"111","Zarray","Japanese macaque","BrightEyes","2",6,5,3
"112","Zarray","Japanese macaque","BrightEyes","1005",7,5,3
"113","Zarray","Japanese macaque","BrightEyes","4",1,6,4
"114","Zarray","Japanese macaque","BrightEyes","3",2,6,4
"115","Zarray","Japanese macaque","BrightEyes","2",3,6,4
"116","Zarray","Japanese macaque","BrightEyes","1",4,6,4
"117","Zarray","Japanese macaque","BrightEyes","5",5,6,4
"118","Zarray","Japanese macaque","BrightEyes","6",6,6,4
"119","Zarray","Japanese macaque","BrightEyes","1006",7,6,4
"120","Zarray","Japanese macaque","BrightEyes","6",1,7,5
"121","Zarray","Japanese macaque","BrightEyes","4",2,7,5
"122","Zarray","Japanese macaque","BrightEyes","3",3,7,5
"123","Zarray","Japanese macaque","BrightEyes","1",4,7,5
"124","Zarray","Japanese macaque","BrightEyes","2",5,7,5
"125","Zarray","Japanese macaque","BrightEyes","5",6,7,5
"126","Zarray","Japanese macaque","BrightEyes","1007",7,7,5
"127","Zarray","Japanese macaque","BrightEyes","2",1,8,5
"128","Zarray","Japanese macaque","BrightEyes","1",2,8,5
"129","Zarray","Japanese macaque","BrightEyes","4",3,8,5
"130","Zarray","Japanese macaque","BrightEyes","3",4,8,5
"131","Zarray","Japanese macaque","BrightEyes","6",5,8,5
"132","Zarray","Japanese macaque","BrightEyes","5",6,8,5
"133","Zarray","Japanese macaque","BrightEyes","1008",7,8,5
"134","Zarray","Japanese macaque","BrightEyes","2",1,9,6
"135","Zarray","Japanese macaque","BrightEyes","3",2,9,6
"136","Zarray","Japanese macaque","BrightEyes","4",3,9,6
"137","Zarray","Japanese macaque","BrightEyes","5",4,9,6
"138","Zarray","Japanese macaque","BrightEyes","6",5,9,6
"139","Zarray","Japanese macaque","BrightEyes","1",6,9,6
"140","Zarray","Japanese macaque","BrightEyes","1009",7,9,6
"141","Zarray","Japanese macaque","BrightEyes","1",1,10,6
"142","Zarray","Japanese macaque","BrightEyes","3",2,10,6
"143","Zarray","Japanese macaque","BrightEyes","4",3,10,6
"144","Zarray","Japanese macaque","BrightEyes","6",4,10,6
"145","Zarray","Japanese macaque","BrightEyes","5",5,10,6
"146","Zarray","Japanese macaque","BrightEyes","2",6,10,6
"147","Zarray","Japanese macaque","BrightEyes","1010",7,10,6
"148","Zarray","Japanese macaque","BrightEyes","3",1,11,6
"149","Zarray","Japanese macaque","BrightEyes","2",2,11,6
"150","Zarray","Japanese macaque","BrightEyes","1",3,11,6
"151","Zarray","Japanese macaque","BrightEyes","4",4,11,6
"152","Zarray","Japanese macaque","BrightEyes","5",5,11,6
"153","Zarray","Japanese macaque","BrightEyes","6",6,11,6
"154","Zarray","Japanese macaque","BrightEyes","1011",7,11,6
"155","Zarray","Japanese macaque","BrightEyes","2",1,12,7
"156","Zarray","Japanese macaque","BrightEyes","1",2,12,7
"157","Zarray","Japanese macaque","BrightEyes","3",3,12,7
"158","Zarray","Japanese macaque","BrightEyes","4",4,12,7
"159","Zarray","Japanese macaque","BrightEyes","6",5,12,7
"160","Zarray","Japanese macaque","BrightEyes","5",6,12,7
"161","Zarray","Japanese macaque","BrightEyes","1012",7,12,7
"162","Zarray","Japanese macaque","BrightEyes","6",1,13,8
"163","Zarray","Japanese macaque","BrightEyes","4",2,13,8
"164","Zarray","Japanese macaque","BrightEyes","3",3,13,8
"165","Zarray","Japanese macaque","BrightEyes","1",4,13,8
"166","Zarray","Japanese macaque","BrightEyes","2",5,13,8
"167","Zarray","Japanese macaque","BrightEyes","5",6,13,8
"168","Zarray","Japanese macaque","BrightEyes","1013",7,13,8
"169","Zarray","Japanese macaque","Propeller","2",1,1,1
"170","Zarray","Japanese macaque","Propeller","3",2,1,1
"171","Zarray","Japanese macaque","Propeller","4",3,1,1
"172","Zarray","Japanese macaque","Propeller","6",4,1,1
"173","Zarray","Japanese macaque","Propeller","5",5,1,1
"174","Zarray","Japanese macaque","Propeller","1",6,1,1
"175","Zarray","Japanese macaque","Propeller","1001",7,1,1
"176","Zarray","Japanese macaque","Propeller","1",1,2,1
"177","Zarray","Japanese macaque","Propeller","2",2,2,1
"178","Zarray","Japanese macaque","Propeller","3",3,2,1
"179","Zarray","Japanese macaque","Propeller","4",4,2,1
"180","Zarray","Japanese macaque","Propeller","6",5,2,1
"181","Zarray","Japanese macaque","Propeller","5",6,2,1
"182","Zarray","Japanese macaque","Propeller","1002",7,2,1
"183","Zarray","Japanese macaque","Propeller","1",1,3,1
"184","Zarray","Japanese macaque","Propeller","2",2,3,1
"185","Zarray","Japanese macaque","Propeller","3",3,3,1
"186","Zarray","Japanese macaque","Propeller","4",4,3,1
"187","Zarray","Japanese macaque","Propeller","6",5,3,1
"188","Zarray","Japanese macaque","Propeller","5",6,3,1
"189","Zarray","Japanese macaque","Propeller","1003",7,3,1
"190","Zarray","Japanese macaque","Propeller","1",1,4,1
"191","Zarray","Japanese macaque","Propeller","2",2,4,1
"192","Zarray","Japanese macaque","Propeller","3",3,4,1
"193","Zarray","Japanese macaque","Propeller","4",4,4,1
"194","Zarray","Japanese macaque","Propeller","6",5,4,1
"195","Zarray","Japanese macaque","Propeller","5",6,4,1
"196","Zarray","Japanese macaque","Propeller","1004",7,4,1
"197","Zarray","Japanese macaque","Propeller","5",1,5,1
"198","Zarray","Japanese macaque","Propeller","6",2,5,1
"199","Zarray","Japanese macaque","Propeller","4",3,5,1
"200","Zarray","Japanese macaque","Propeller","3",4,5,1
"201","Zarray","Japanese macaque","Propeller","2",5,5,1
"202","Zarray","Japanese macaque","Propeller","1",6,5,1
"203","Zarray","Japanese macaque","Propeller","1005",7,5,1
"204","Zarray","Japanese macaque","Propeller","1",1,6,2
"205","Zarray","Japanese macaque","Propeller","2",2,6,2
"206","Zarray","Japanese macaque","Propeller","3",3,6,2
"207","Zarray","Japanese macaque","Propeller","4",4,6,2
"208","Zarray","Japanese macaque","Propeller","6",5,6,2
"209","Zarray","Japanese macaque","Propeller","5",6,6,2
"210","Zarray","Japanese macaque","Propeller","1006",7,6,2
"211","Zarray","Japanese macaque","Propeller","4",1,7,3
"212","Zarray","Japanese macaque","Propeller","5",2,7,3
"213","Zarray","Japanese macaque","Propeller","6",3,7,3
"214","Zarray","Japanese macaque","Propeller","3",4,7,3
"215","Zarray","Japanese macaque","Propeller","2",5,7,3
"216","Zarray","Japanese macaque","Propeller","1",6,7,3
"217","Zarray","Japanese macaque","Propeller","1007",7,7,3
"218","Zarray","Japanese macaque","Propeller","1",1,8,3
"219","Zarray","Japanese macaque","Propeller","3",2,8,3
"220","Zarray","Japanese macaque","Propeller","2",3,8,3
"221","Zarray","Japanese macaque","Propeller","4",4,8,3
"222","Zarray","Japanese macaque","Propeller","6",5,8,3
"223","Zarray","Japanese macaque","Propeller","5",6,8,3
"224","Zarray","Japanese macaque","Propeller","1008",7,8,3
"225","Zarray","Japanese macaque","Propeller","1",1,9,3
"226","Zarray","Japanese macaque","Propeller","3",2,9,3
"227","Zarray","Japanese macaque","Propeller","2",3,9,3
"228","Zarray","Japanese macaque","Propeller","4",4,9,3
"229","Zarray","Japanese macaque","Propeller","6",5,9,3
"230","Zarray","Japanese macaque","Propeller","5",6,9,3
"231","Zarray","Japanese macaque","Propeller","1009",7,9,3
"232","Zarray","Japanese macaque","Propeller","1",1,10,3
"233","Zarray","Japanese macaque","Propeller","2",2,10,3
"234","Zarray","Japanese macaque","Propeller","3",3,10,3
"235","Zarray","Japanese macaque","Propeller","4",4,10,3
"236","Zarray","Japanese macaque","Propeller","6",5,10,3
"237","Zarray","Japanese macaque","Propeller","5",6,10,3
"238","Zarray","Japanese macaque","Propeller","1010",7,10,3
"239","Zarray","Japanese macaque","Propeller","4",1,11,3
"240","Zarray","Japanese macaque","Propeller","3",2,11,3
"241","Zarray","Japanese macaque","Propeller","2",3,11,3
"242","Zarray","Japanese macaque","Propeller","1",4,11,3
"243","Zarray","Japanese macaque","Propeller","5",5,11,3
"244","Zarray","Japanese macaque","Propeller","6",6,11,3
"245","Zarray","Japanese macaque","Propeller","1011",7,11,3
"246","Zarray","Japanese macaque","Propeller","1",1,12,3
"247","Zarray","Japanese macaque","Propeller","2",2,12,3
"248","Zarray","Japanese macaque","Propeller","3",3,12,3
"249","Zarray","Japanese macaque","Propeller","4",4,12,3
"250","Zarray","Japanese macaque","Propeller","6",5,12,3
"251","Zarray","Japanese macaque","Propeller","5",6,12,3
"252","Zarray","Japanese macaque","Propeller","1012",7,12,3
"253","Zarray","Japanese macaque","Propeller","5",1,13,3
"254","Zarray","Japanese macaque","Propeller","4",2,13,3
"255","Zarray","Japanese macaque","Propeller","3",3,13,3
"256","Zarray","Japanese macaque","Propeller","2",4,13,3
"257","Zarray","Japanese macaque","Propeller","6",5,13,3
"258","Zarray","Japanese macaque","Propeller","1",6,13,3
"259","Zarray","Japanese macaque","Propeller","1013",7,13,3
"260","Zarray","Japanese macaque","Propeller","2",1,14,4
"261","Zarray","Japanese macaque","Propeller","1",2,14,4
"262","Zarray","Japanese macaque","Propeller","3",3,14,4
"263","Zarray","Japanese macaque","Propeller","4",4,14,4
"264","Zarray","Japanese macaque","Propeller","5",5,14,4
"265","Zarray","Japanese macaque","Propeller","6",6,14,4
"266","Zarray","Japanese macaque","Propeller","1014",7,14,4
"267","Zarray","Japanese macaque","Propeller","5",1,15,5
"268","Zarray","Japanese macaque","Propeller","6",2,15,5
"269","Zarray","Japanese macaque","Propeller","4",3,15,5
"270","Zarray","Japanese macaque","Propeller","3",4,15,5
"271","Zarray","Japanese macaque","Propeller","2",5,15,5
"272","Zarray","Japanese macaque","Propeller","1",6,15,5
"273","Zarray","Japanese macaque","Propeller","1015",7,15,5
"274","Zarray","Japanese macaque","Propeller","1",1,16,5
"275","Zarray","Japanese macaque","Propeller","2",2,16,5
"276","Zarray","Japanese macaque","Propeller","3",3,16,5
"277","Zarray","Japanese macaque","Propeller","4",4,16,5
"278","Zarray","Japanese macaque","Propeller","6",5,16,5
"279","Zarray","Japanese macaque","Propeller","5",6,16,5
"280","Zarray","Japanese macaque","Propeller","1016",7,16,5
"281","Zarray","Japanese macaque","Propeller","1",1,17,5
"282","Zarray","Japanese macaque","Propeller","2",2,17,5
"283","Zarray","Japanese macaque","Propeller","3",3,17,5
"284","Zarray","Japanese macaque","Propeller","4",4,17,5
"285","Zarray","Japanese macaque","Propeller","6",5,17,5
"286","Zarray","Japanese macaque","Propeller","5",6,17,5
"287","Zarray","Japanese macaque","Propeller","1017",7,17,5
"288","Zarray","Japanese macaque","Propeller","5",1,18,5
"289","Zarray","Japanese macaque","Propeller","4",2,18,5
"290","Zarray","Japanese macaque","Propeller","6",3,18,5
"291","Zarray","Japanese macaque","Propeller","3",4,18,5
"292","Zarray","Japanese macaque","Propeller","2",5,18,5
"293","Zarray","Japanese macaque","Propeller","1",6,18,5
"294","Zarray","Japanese macaque","Propeller","1018",7,18,5
"295","Zarray","Japanese macaque","Rudy","6",1,1,1
"296","Zarray","Japanese macaque","Rudy","5",2,1,1
"297","Zarray","Japanese macaque","Rudy","4",3,1,1
"298","Zarray","Japanese macaque","Rudy","3",4,1,1
"299","Zarray","Japanese macaque","Rudy","2",5,1,1
"300","Zarray","Japanese macaque","Rudy","1",6,1,1
"301","Zarray","Japanese macaque","Rudy","1001",7,1,1
"302","Zarray","Japanese macaque","Rudy","6",1,2,1
"303","Zarray","Japanese macaque","Rudy","5",2,2,1
"304","Zarray","Japanese macaque","Rudy","4",3,2,1
"305","Zarray","Japanese macaque","Rudy","3",4,2,1
"306","Zarray","Japanese macaque","Rudy","2",5,2,1
"307","Zarray","Japanese macaque","Rudy","1",6,2,1
"308","Zarray","Japanese macaque","Rudy","1002",7,2,1
"309","Zarray","Japanese macaque","Rudy","6",1,3,1
"310","Zarray","Japanese macaque","Rudy","5",2,3,1
"311","Zarray","Japanese macaque","Rudy","4",3,3,1
"312","Zarray","Japanese macaque","Rudy","3",4,3,1
"313","Zarray","Japanese macaque","Rudy","2",5,3,1
"314","Zarray","Japanese macaque","Rudy","1",6,3,1
"315","Zarray","Japanese macaque","Rudy","1003",7,3,1
"316","Zarray","Japanese macaque","Rudy","6",1,4,1
"317","Zarray","Japanese macaque","Rudy","4",2,4,1
"318","Zarray","Japanese macaque","Rudy","5",3,4,1
"319","Zarray","Japanese macaque","Rudy","3",4,4,1
"320","Zarray","Japanese macaque","Rudy","1",5,4,1
"321","Zarray","Japanese macaque","Rudy","2",6,4,1
