Array,Species,ID,Trial,Session,Dist (m),**Sessions cut off at <2 hours between successive trials.,,,
Zarray,Japanese macaque,Yochan,234561,1,,,,,
Zarray,Japanese macaque,Yochan,123465,2,,,,,
Zarray,Japanese macaque,Yochan,123465,2,,,,,
Zarray,Japanese macaque,Yochan,123465,2,,,,,
Zarray,Japanese macaque,Yochan,123465,3,,,,,
DT,Vervet,CL,145632,1,,,,,
DT,Vervet,CL,214356,1,,,,,
DT,Vervet,JK,542163,1,,,,,
DT,Vervet,JK,5412643,2,,,,,
DT,Vervet,JK,216543,3,,,,,
DT,Vervet,JK,543216,3,,,,,
DT,Vervet,JK,341256,4,,,,,
DT,Vervet,JK,543216,5,,,,,
DT,Vervet,JK,543216,6,,,,,
DT,Vervet,JK,543216,6,,,,,
DT,Vervet,JK,543216,6,,,,,
DT,Vervet,JK,543126,7,,,,,
DT,Vervet,JK,412356,8,,,,,
DT,Vervet,JK,543216,9,,,,,
DT,Vervet,JK,543216,10,,,,,
DT,Vervet,JK,5412643,11,,,,,
DT,Vervet,JK,341265,11,,,,,
DT,Vervet,JK,5412653,11,,,,,
DT,Vervet,JK,541236,12,,,,,
DT,Vervet,JK,341265,12,,,,,
DT,Vervet,JK,541236,12,,,,,
DT,Vervet,JK,345612,12,,,,,
DT,Vervet,JK,345612,13,,,,,
DT,Vervet,JK,541263,14,,,,,
DT,Vervet,JK,412653,15,,,,,
DT,Vervet,JK,541236,16,,,,,
DT,Vervet,JK,432165,16,,,,,
DT,Vervet,JK,541263,17,,,,,
DT,Vervet,JK,451236,17,,,,,
DT,Vervet,JK,341652,17,,,,,
DT,Vervet,JK,341265,17,,,,,
DT,Vervet,JK,412653,17,,,,,
DT,Vervet,JK,345126,18,,,,,
DT,Vervet,JK,543126,18,,,,,
DT,Vervet,JK,341265,18,,,,,
DT,Vervet,JK,543126,18,,,,,
DT,Vervet,JK,5412643,19,,,,,
DT,Vervet,JK,541236,19,,,,,
DT,Vervet,JK,543126,19,,,,,
DT,Vervet,JK,543126,20,,,,,
DT,Vervet,JK,612435,20,,,,,
DT,Vervet,JK,543126,21,,,,,
DT,Vervet,JK,541263,21,,,,,
DT,Vervet,JK,543126,21,,,,,
DT,Vervet,JK,5412346,21,,,,,
DT,Vervet,JK,541263,22,,,,,
DT,Vervet,JK,341265,22,,,,,
DT,Vervet,JK,543216,23,,,,,
DT,Vervet,JK,543216,23,,,,,
DT,Vervet,JK,543162,23,,,,,
DT,Vervet,JK,345126,23,,,,,
DT,Vervet,JK,543216,24,,,,,
DT,Vervet,JK,543216,24,,,,,
DT,Vervet,JK,541263,24,,,,,
DT,Vervet,JK,216543,25,,,,,
DT,Vervet,JK,543216,25,,,,,
DT,Vervet,JK,612435,26,,,,,
