"","ID","Array","DET","Species","Source"
"1200","2078","Pentagon",0.300395256916996,"Vervet","Learning_Factor2"
"1201","2079","Pentagon",0.429856115107913,"Vervet","Learning_Factor2"
"1202","208","DT",0.389930172730614,"None","Learning_Factor2"
"1203","2080","Pentagon",0.311154598825831,"Vervet","Learning_Factor2"
"1204","2081","Pentagon",0.572755417956656,"Vervet","Learning_Factor2"
"1205","2082","Pentagon",0.345575959933222,"Vervet","Learning_Factor2"
"1206","2083","Pentagon",0.531034482758621,"Vervet","Learning_Factor2"
"1207","2084","Pentagon",0.497907949790795,"Vervet","Learning_Factor2"
"1208","2085","Pentagon",0.4375,"Vervet","Learning_Factor2"
"1209","2086","Pentagon",0.437627811860941,"Vervet","Learning_Factor2"
"1210","2087","Pentagon",0.497816593886463,"Vervet","Learning_Factor2"
"1211","2088","Pentagon",0.51310861423221,"Vervet","Learning_Factor2"
"1212","2089","Pentagon",0.61041756349548,"Vervet","Learning_Factor2"
"1213","209","DT",0.652855993563958,"None","Learning_Factor2"
"1214","2090","Pentagon",0.483069977426636,"Vervet","Learning_Factor2"
"1215","2091","Pentagon",0.613702623906706,"Vervet","Learning_Factor2"
"1216","2092","Pentagon",0.681632653061225,"Vervet","Learning_Factor2"
"1217","2093","Pentagon",0.442771084337349,"Vervet","Learning_Factor2"
"1218","2094","Pentagon",0.482315112540193,"Vervet","Learning_Factor2"
"1219","2095","Pentagon",0.606707317073171,"Vervet","Learning_Factor2"
"1220","2096","Pentagon",0.689100219458669,"Vervet","Learning_Factor2"
"1221","2097","Pentagon",0.359022556390977,"Vervet","Learning_Factor2"
"1222","2098","Pentagon",0.387387387387387,"Vervet","Learning_Factor2"
"1223","2099","Pentagon",0.3359375,"Vervet","Learning_Factor2"
"1224","21","DT",0.366852886405959,"None","Learning_Factor1"
"1225","210","DT",0.625,"None","Learning_Factor2"
"1226","2100","Pentagon",0.727564102564102,"Vervet","Learning_Factor2"
"1227","2101","Zarray",0.272038567493113,"None","Learning_Factor1"
"1228","2102","Zarray",0.286647992530345,"None","Learning_Factor1"
"1229","2103","Zarray",0.24653537563822,"None","Learning_Factor1"
"1230","2104","Zarray",0.289617486338798,"None","Learning_Factor1"
"1231","2105","Zarray",0.341336794289422,"None","Learning_Factor1"
"1232","2106","Zarray",0.360726643598616,"None","Learning_Factor1"
"1233","2107","Zarray",0.284710017574693,"None","Learning_Factor1"
"1234","2108","Zarray",0.277478448275862,"None","Learning_Factor1"
"1235","2109","Zarray",0.330842391304348,"None","Learning_Factor1"
"1236","211","DT",0.564356435643565,"None","Learning_Factor2"
"1237","2110","Zarray",0.306053811659193,"None","Learning_Factor1"
"1238","2111","Zarray",0.331868131868132,"None","Learning_Factor1"
"1239","2112","Zarray",0.24551282051282,"None","Learning_Factor1"
"1240","2113","Zarray",0.293868921775899,"None","Learning_Factor1"
"1241","2114","Zarray",0.311095983662355,"None","Learning_Factor1"
"1242","2115","Zarray",0.283206106870229,"None","Learning_Factor1"
"1243","2116","Zarray",0.25402144772118,"None","Learning_Factor1"
"1244","2117","Zarray",0.388927820602663,"None","Learning_Factor1"
"1245","2118","Zarray",0.26027397260274,"None","Learning_Factor1"
"1246","2119","Zarray",0.18834547346514,"None","Learning_Factor1"
